EXITUS
95
0
35
0
45
114
122
0
42
0
45
121
0
48
127
142
1
48
1
53
134
151
1
53
1
48
149
1
48
155
165
1
43
1
41
160
135
0
37
0
35
132
1
34
117
114
1
34
1
33
114
106
1
32
1
29
98
1
29
99
99
1
26
0
26
99
99
0
28
0
30
93
90
0
28
88
0
27
1
27
82
81
1
30
1
31
77
73
1
28
70
1
27
1
26
68
60
1
23
0
20
65
57
0
14
12
53
0
0
11
50
49
0
11
0
13
49
55
0
12
52
0
15
0
18
54
52
1
17
1
15
51
52
1
15
14
53
1
1
19
52
48
1
17
1
19
48
54
0
21
21
55
0
0
18
53
50
0
18
0
16
53
52
0
17
0
15
56
1
14
61
62
1
14
1
15
60
65
1
18
1
16
60
1
17
64
63
2
16
1
17
52
54
1
19
1
19
54
2
18
55
60
2
22
2
20
58
50
1
20
2
18
53
2
18
45
46
2
20
1
20
38
33
1
17
1
17
33
39
1
15
35
0
17
0
15
38
37
0
15
0
14
34
35
0
16
40
0
14
0
16
36
36
0
14
0
16
35
39
0
13
11
47
0
0
7
48
42
0
7
0
6
43
46
0
10
49
1
9
1
11
46
47
1
12
1
13
42
43
1
13
13
45
1
1
8
44
44
0
9
0
11
41
33
0
11
11
34
0
0
12
31
29
0
11
0
12
26
23
0
9
0
10
23
0
11
26
26
0
10
0
10
26
25
0
12
0
12
30
0
15
32
32
0
14
0
11
32
34
0
13
0
16
35
0
16
42
43
0
18
0
19
36
36
0
19
0
19
38
0
18
39
39
0
17
0
18
36
36
0
16
0
15
42
48
0
14
58
0
15
0
16
53
57
0
15
0
13
54
57
0
16
65
0
17
0
17
58
44
0
20
0
21
53
56
0
21
59
1
26
1
25
56
50
1
23
1
26
61
69
1
30
74
1
33
1
33
85
84
1
35
1
36
90
95
1
41
45
107
1
1
43
118
128
1
47
1
58
129
143
0
59
69
157
0
0
75
166
170
0
79
0
82
177
173
0
79
0
76
177
0
81
189
189
1
74
3
68
196
199
3
62
60
212
4
4
74
231
232
4
72
4
73
228
240
3
76
1
89
243
1
89
256
256
0
95
0
79
248
260
0
83
0
79
255
0
79
236
238
1
66
1
65
227
233
1
60
1
60
239
226
1
54
234
1
52
1
48
240
234
0
45
0
45
236
216
0
44
212
1
44
2
44
216
209
2
39
2
36
199
189
2
34
171
3
29
3
25
180
175
2
27
1
26
167
167
1
23
170
1
26
1
27
173
175
0
30
0
27
161
154
0
22
19
153
0
0
23
144
144
0
18
1
16
144
146
1
18
20
136
2
2
24
133
124
3
25
3
24
124
125
3
24
2
24
131
2
18
126
128
1
17
1
16
122
120
0
16
14
115
0
0
15
100
82
0
15
0
14
73
66
0
13
0
9
59
0
7
56
52
0
5
0
5
55
52
0
4
0
6
50
1
7
50
54
2
7
2
6
49
45
2
6
2
4
42
41
2
5
38
2
3
1
4
36
31
0
5
0
5
32
33
0
6
31
0
7
0
6
30
28
0
6
0
4
27
25
0
2
26
1
3
1
2
25
24
2
1
3
1
23
22
3
2
21
3
2
3
2
25
21
2
1
2
1
18
16
1
1
1
15
0
0
0
17
13
0
0
1
0
9
10
1
1
1
12
1
1
1
12
10
1
1
1
1
11
12
1
1
0
1
10
0
0
9
10
0
0
0
1
10
10
0
1
2
10
0
0
2
11
10
0
3
0
5
12
12
0
5
0
4
12
0
5
13
14
0
4
0
4
13
14
0
4
0
2
12
0
2
11
12
0
3
0
2
14
13
0
3
0
4
14
16
0
4
17
0
4
0
4
21
20
1
3
1
3
21
20
1
4
20
1
5
1
5
20
18
2
6
2
8
15
21
1
8
21
1
8
1
8
22
27
1
7
1
6
