ALT CAMP	2022-07-15	2022-07-21	0
ALT CAMP	2022-07-14	2022-07-20	0
ALT CAMP	2022-07-13	2022-07-19	0
ALT CAMP	2022-07-12	2022-07-18	0
ALT CAMP	2022-07-11	2022-07-17	0
ALT CAMP	2022-07-10	2022-07-16	0
ALT CAMP	2022-07-09	2022-07-15	0
ALT CAMP	2022-07-08	2022-07-14	0
ALT CAMP	2022-07-07	2022-07-13	0
ALT CAMP	2022-07-06	2022-07-12	0
ALT CAMP	2022-07-05	2022-07-11	0
ALT CAMP	2022-07-04	2022-07-10	0
ALT CAMP	2022-07-03	2022-07-09	0
ALT CAMP	2022-07-02	2022-07-08	0
ALT CAMP	2022-07-01	2022-07-07	0
ALT CAMP	2022-06-30	2022-07-06	0
ALT CAMP	2022-06-29	2022-07-05	0
ALT CAMP	2022-06-28	2022-07-04	0
ALT CAMP	2022-06-27	2022-07-03	0
ALT CAMP	2022-06-26	2022-07-02	0
ALT CAMP	2022-06-25	2022-07-01	0
ALT CAMP	2022-06-24	2022-06-30	0
ALT CAMP	2022-06-23	2022-06-29	0
ALT CAMP	2022-06-22	2022-06-28	0
ALT CAMP	2022-06-21	2022-06-27	0
ALT CAMP	2022-06-20	2022-06-26	0
ALT CAMP	2022-06-19	2022-06-25	0
ALT CAMP	2022-06-18	2022-06-24	0
ALT CAMP	2022-06-17	2022-06-23	0
ALT CAMP	2022-06-16	2022-06-22	0
ALT CAMP	2022-06-15	2022-06-21	1
ALT CAMP	2022-06-14	2022-06-20	1
ALT CAMP	2022-06-13	2022-06-19	1
ALT CAMP	2022-06-12	2022-06-18	2
ALT CAMP	2022-06-11	2022-06-17	2
ALT CAMP	2022-06-10	2022-06-16	2
ALT CAMP	2022-06-09	2022-06-15	2
ALT CAMP	2022-06-08	2022-06-14	2
ALT CAMP	2022-06-07	2022-06-13	2
ALT CAMP	2022-06-06	2022-06-12	2
ALT CAMP	2022-06-05	2022-06-11	1
ALT CAMP	2022-06-04	2022-06-10	1
ALT CAMP	2022-06-03	2022-06-09	1
ALT CAMP	2022-06-02	2022-06-08	1
ALT CAMP	2022-06-01	2022-06-07	1
ALT CAMP	2022-05-31	2022-06-06	1
ALT CAMP	2022-05-30	2022-06-05	1
ALT CAMP	2022-05-29	2022-06-04	1
ALT CAMP	2022-05-28	2022-06-03	1
ALT CAMP	2022-05-27	2022-06-02	1
ALT CAMP	2022-05-26	2022-06-01	1
ALT CAMP	2022-05-25	2022-05-31	0
ALT CAMP	2022-05-24	2022-05-30	0
ALT CAMP	2022-05-23	2022-05-29	0
ALT CAMP	2022-05-22	2022-05-28	0
ALT CAMP	2022-05-21	2022-05-27	0
ALT CAMP	2022-05-20	2022-05-26	0
ALT CAMP	2022-05-19	2022-05-25	0
ALT CAMP	2022-05-18	2022-05-24	0
ALT CAMP	2022-05-17	2022-05-23	0
ALT CAMP	2022-05-16	2022-05-22	0
ALT CAMP	2022-05-15	2022-05-21	0
ALT CAMP	2022-05-14	2022-05-20	0
ALT CAMP	2022-05-13	2022-05-19	0
ALT CAMP	2022-05-12	2022-05-18	0
ALT CAMP	2022-05-11	2022-05-17	0
ALT CAMP	2022-05-10	2022-05-16	0
ALT CAMP	2022-05-09	2022-05-15	0
ALT CAMP	2022-05-08	2022-05-14	0
ALT CAMP	2022-05-07	2022-05-13	0
ALT CAMP	2022-05-06	2022-05-12	0
ALT CAMP	2022-05-05	2022-05-11	1
ALT CAMP	2022-05-04	2022-05-10	1
ALT CAMP	2022-05-03	2022-05-09	1
ALT CAMP	2022-05-02	2022-05-08	1
ALT CAMP	2022-05-01	2022-05-07	1
ALT CAMP	2022-04-30	2022-05-06	1
ALT CAMP	2022-04-29	2022-05-05	1
ALT CAMP	2022-04-28	2022-05-04	0
ALT CAMP	2022-04-27	2022-05-03	0
ALT CAMP	2022-04-26	2022-05-02	0
ALT CAMP	2022-04-25	2022-05-01	0
ALT CAMP	2022-04-24	2022-04-30	0
ALT CAMP	2022-04-23	2022-04-29	0
ALT CAMP	2022-04-22	2022-04-28	0
ALT CAMP	2022-04-21	2022-04-27	0
ALT CAMP	2022-04-20	2022-04-26	0
ALT CAMP	2022-04-19	2022-04-25	0
